"","random_1","random_2","random_3","random_4","random_5","firstyear","lastyear","mu","emp_1976","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000","sic3"
"1",3,3,1,4,1,1980,1986,1,24,96,124,73,33,1,4,96,123,1,119,12,91,71,92,48,125,89,19,49,123,85,91,113,7,829
"2",2,1,5,2,3,1977,1983,1,116,19,94,32,39,55,46,91,115,47,73,117,68,76,56,64,31,78,66,58,99,104,21,70,77,542
"3",4,1,5,3,1,1976,1983,1,53,13,55,76,71,17,38,105,27,49,90,78,68,57,83,103,41,105,114,82,30,70,41,70,77,178
"4",3,4,5,5,5,1979,1986,1,63,53,27,40,106,80,81,75,61,81,41,98,87,70,62,55,8,108,124,97,68,32,41,121,52,829
"5",2,5,1,5,3,1980,1986,0,67,77,44,57,18,57,74,23,88,64,67,32,112,123,90,72,23,10,93,96,79,65,41,92,53,542
"6",3,4,2,2,3,1980,2000,1,38,90,90,90,112,122,14,1,13,25,125,74,114,13,52,88,82,98,6,71,96,2,98,109,7,259
"7",1,2,4,5,5,1977,1997,0,89,125,53,83,83,2,72,10,82,102,73,95,60,124,89,105,74,101,66,44,25,50,95,108,58,829
"8",2,2,2,2,4,1978,2000,1,55,115,97,116,122,123,66,20,122,24,80,94,3,113,58,15,88,101,125,55,6,1,6,71,120,259
"9",5,5,3,2,5,1976,2000,0,78,44,60,55,117,53,84,72,80,58,46,2,62,119,11,124,125,36,116,1,27,119,9,121,114,178
"10",4,3,2,5,5,1977,1991,1,3,44,69,71,34,116,87,90,31,99,72,32,125,96,47,27,58,20,101,110,5,82,90,77,14,259
